"","P15","P12","P1","P7","P2","P21","P13","P28","P24","P4","P22","P16","P25","P34","P5","P9","P29","P3","P8","P23","P10","P14","P18","P27","P6","","P30","P33","P26","P19","P35","P11","P17","P20","P39","P40","P41","P31","P32","P36","P37","P38","P42","P43","P44"
"P15",NA,2.02709582359894e-05,4.38996044464803e-05,5.8214836860658e-07,6.08695714438477e-05,0.000131875186043652,4.14726298282839e-05,0.00129532435634813,2.77898785713529e-05,0.000106825455876794,8.46432322929187e-05,0.0615689903543326,1.37265708342045e-05,0.000476461822412965,2.89524085096999e-05,0.000115915868662281,8.3608922399605e-05,0.00037009643749475,0.000290731358129673,0.000214948982620114,9.48103006634768e-06,0.000156550926781744,0.000144095253842278,0.000534306894053918,0.000272965088813304,0.000267153447026959,1.66328105316198e-05,0.000468572845804988,0.000159229635141094,9.0988362937768e-05,0.00041730064904048,4.5494181468884e-05,0.00403579400510204,4.5494181468884e-05,0.000806076192050894,4.5494181468884e-05,4.5494181468884e-05,2.2747090734442e-05,2.2747090734442e-05,2.2747090734442e-05,2.2747090734442e-05,2.2747090734442e-05,2.2747090734442e-05,2.2747090734442e-05,2.2747090734442e-05
"P12",2.02709582359894e-05,NA,0.00013200980502974,0.0012611301010412,0.00190994781132787,0.000889460967149907,0.106852200005198,3.79648098109045e-05,0.000906659561102028,1.48461740691578e-05,0.0014355700646246,4.32526217624744e-08,1.45160348851573e-05,4.24876911368612e-06,7.61176458240034e-05,0.000295476610510977,0.00167809804986498,0.000193727691899643,0.00224813879803489,0.0024560785004712,0.00110661672584395,0.0146772450520304,0.000241419794798798,9.10900214317711e-06,5.41666999872054e-05,0.0117432468432122,0.00019005202002431,3.61111333248033e-05,0.000433942740987461,0.00103966326930459,0.00476821588010204,0.000519831634652294,0.000281922991571237,0.000519831634652294,0.00317881058673469,0.000519831634652294,0.000281922991571237,0.000259915817326147,0.000259915817326147,0.000259915817326147,0.00158940529336735,0.000259915817326147,0.000259915817326147,0.00158940529336735,0.000259915817326147
"P1",4.38996044464803e-05,0.00013200980502974,NA,0.000601211939102564,0.153904935878586,0.000153292503027887,0.00269576927479571,0.000538894145526456,8.92240838353414e-05,0.000141667143620268,0.00106073078269769,0.000508781082699351,0.00223855509240316,0.000468905009920636,4.72439576792255e-05,0.0011599441459276,1.41355200578991e-06,0.0215374360882173,0.000200439751221001,0.000478925621653987,2.14629120879123e-05,0.000154323003762542,0.00144874656593407,0.000120907738095238,0.0016323737026862,0.000438201121794872,0.000350560897435897,0.00206759386446886,0.000282211742870225,0.00189231341575092,0.000837351667429792,8.76402243589744e-05,0.00111786000457875,8.76402243589744e-05,8.76402243589744e-05,0.00111786000457875,0.00111786000457875,0.000558930002289377,0.00136021205357143,0.000558930002289377,0.000558930002289377,0.000558930002289377,0.000558930002289377,0.00136021205357143,0.00136021205357143
"P7",5.8214836860658e-07,0.0012611301010412,0.000601211939102564,NA,0.000485198687446536,0.0048359104982719,0.000139466002747254,0.0433976657484802,0.000139189570783133,0.0378781436011905,1.60845588235296e-05,0.00241457760989011,0.00261828576177811,0.0088358874198718,0.0185941087372449,0.0115258994222689,0.00688008532546083,0.00140792410714286,0.00622935267857143,0.00218943166208791,0.001640625,0.0122283215256211,1.00446428571428e-05,0.0066171875,0.0064750744047619,0.00207645089285714,0.00322544642857143,1.11607142857143e-05,5.75972576530612e-05,0.000452008928571429,0.00130626860119048,0.00013671875,0.00174386160714286,0.00174386160714286,0.00174386160714286,0.00174386160714286,0.00174386160714286,0.00212193080357143,0.00212193080357143,0.000871930803571429,0.000871930803571429,0.000871930803571429,0.00212193080357143,0.000871930803571429,0.00212193080357143
"P2",6.08695714438477e-05,0.00190994781132787,0.153904935878586,0.000485198687446536,NA,0.000688301728812782,0.000278706654097615,0.00055806745375402,0.000675653946862542,0.00291502812296326,0.0038962885865424,4.37061267966422e-05,0.000294390551222242,0.000363162784762108,0.000716800216531224,0.000493595407848768,0.00115396874279338,0.0133656833335879,0.00463136625346246,0.00427433710630153,0.00232642177379934,8.56773275487623e-05,0.00180502356256874,8.88131262984232e-05,0.00116321088689967,0.000969342405749725,0.00077547392459978,0.00294078615727728,0.000317654311911891,0.00340848118813394,0.00155167383663795,0.000193868481149945,0.00166414221938776,0.00166414221938776,0.00166414221938776,0.000193868481149945,0.00166414221938776,0.000832071109693878,0.00235580934750397,0.000832071109693878,0.000832071109693878,0.000832071109693878,0.000832071109693878,0.000832071109693878,0.000832071109693878
"P21",0.000131875186043652,0.000889460967149907,0.000153292503027887,0.0048359104982719,0.000688301728812782,NA,0.000453321430153946,0.00137608822162187,0.0366581537380182,7.74156688885225e-05,0.0325656346207838,9.89074289765773e-09,0.00936812304011773,0.00697485380822614,0.00311280421947005,0.00198778478125121,1.56877551684045e-05,8.28095855277596e-05,8.28095855277596e-05,0.00396136616479718,0.0106814550416941,0.000257216617143,0.015445631377551,0.00537074658492429,0.000386810470155805,0.000136410158821593,0.00252041844963792,0.00252041844963792,0.00186334425403226,0.000237743787030941,0.00231684470663265,0.0015445631377551,0.000306083875082291,0.0015445631377551,0.0015445631377551,0.0015445631377551,0.0015445631377551,0.000772281568877551,0.000772281568877551,0.000772281568877551,0.000772281568877551,0.000772281568877551,0.00275960875781764,0.000772281568877551,0.00275960875781764
"P13",4.14726298282839e-05,0.106852200005198,0.00269576927479571,0.000139466002747254,0.000278706654097615,0.000453321430153946,NA,0.00940976469863723,7.76229673403184e-05,0.000513067847331239,0.000181839562748176,0.000122692383166284,0.00311352158242593,0.00432560621326933,0.000293827266483516,0.00103023781628036,0.0121743225632374,0.00042976926347462,0.000745703329408687,0.00587284238769472,0.000343815410779696,0.00451473688869361,1.48400706436419e-05,0.00185549941130298,0.000171907705389848,0.00647720025510204,9.93426216640504e-05,0.000442749215070643,1.07314560439562e-06,0.00259088010204082,0.00327099890436944,0.00129544005102041,0.00067730818288854,0.00129544005102041,0.00775148400706436,0.00067730818288854,0.00067730818288854,0.000647720025510204,0.000647720025510204,0.000647720025510204,0.000647720025510204,0.000647720025510204,0.00387574200353218,0.00387574200353218,0.000647720025510204
"P28",0.00129532435634813,3.79648098109045e-05,0.000538894145526456,0.0433976657484802,0.00055806745375402,0.00137608822162187,0.00940976469863723,NA,4.38369781230873e-05,0.013447023922601,0.00709038602142985,0.00493353412355122,0.00103502127919411,0.00397414521506229,0.00573500427431611,0.00307306266921662,0.00215248502347919,0.00259537491858446,0.00186715809994211,0.000976236315925716,5.65385728759578e-07,0.00154203733846684,0.000761404960920539,0.0054346572405558,0.00204245594514402,1.02617509769866e-05,0.00232203918801563,0.000612312744246635,0.00973742638677811,6.869436604429e-05,0.000486867785678101,0.000936702806122449,0.000936702806122449,0.000936702806122449,0.000936702806122449,0.00179156602800695,0.000936702806122449,0.000468351403061224,0.000468351403061224,0.000468351403061224,0.000468351403061224,0.000468351403061224,0.000468351403061224,0.000468351403061224,0.000468351403061224
"P24",2.77898785713529e-05,0.000906659561102028,8.92240838353414e-05,0.000139189570783133,0.000675653946862542,0.0366581537380182,7.76229673403184e-05,4.38369781230873e-05,NA,0.00270687421241087,0.0130987400607834,3.10491869361274e-05,0.00352376783172094,0.00321393409440352,0.00217844032379518,0.0115167184155289,0.00704215487175,0.00262793040785591,0.000835044578825506,0.0107521524234694,0.005962786093353,0.00158384602490485,0.00440901040386034,0.000299716083722646,0.00150226223772642,0.00413544323979592,0.000350092973936563,0.00330835459183673,0.00289481026785714,0.00165417729591837,0.00124063297193878,0.000827088647959184,0.00238689931921564,0.000827088647959184,0.000827088647959184,0.000827088647959184,0.000827088647959184,0.000413544323979592,0.000413544323979592,0.000413544323979592,0.00799745138077821,0.000413544323979592,0.00799745138077821,0.000413544323979592,0.00799745138077821
"P4",0.000106825455876794,1.48461740691578e-05,0.000141667143620268,0.0378781436011905,0.00291502812296326,7.74156688885225e-05,0.000513067847331239,0.013447023922601,0.00270687421241087,NA,7.44203931572633e-05,0.00278324911695447,0.000363329590479809,0.00425776650804553,0.0130789620535714,0.00863314857192877,0.00206233413224161,0.000464507157029478,0.00719069763321995,0.0110756904925432,1.77154195011334e-07,0.00267859742402396,0.00121178784013605,0.00367607355442177,0.00448421556122449,0.000141608205782313,0.000191857993197279,0.000727572278911565,5.62686011904762e-05,0.00589950042517007,0.00112105389030612,0.000747369260204081,0.000747369260204081,0.000747369260204081,0.00294975021258503,0.00294975021258503,0.000747369260204081,0.000373684630102041,0.00924273224914966,0.000373684630102041,0.000373684630102041,0.000373684630102041,0.00924273224914966,0.000373684630102041,0.000373684630102041
