"","P15","P12","P1","P7","P2","P21","P13","P28","P24","P4","P22","P16","P25","P34","P5","P9","P29","P3","P8","P23","P10","P14","P18","P27","P6","","P30","P33","P26","P19","P35","P11","P17","P20","P39","P40","P41","P31","P32","P36","P37","P38","P42","P43","P44"
"P15",NA,1.00561167227834,1.00892687559354,0.998716049382716,1.01343978709248,1.0205336519315,1.01257359924027,1.08263724717625,1.01288115424662,0.973432098765432,1.02483660130719,0.233998100664767,1.0120304701865,1.07780943336499,0.979753086419753,1.04110384894699,0.963440860215054,0.921810699588478,1.06930041152263,0.935992402659069,1.01399176954733,1.0580783682233,0.940246913580247,0.884938271604938,1.10617283950617,0.884938271604938,0.967901234567901,0.82962962962963,1.10617283950617,1.10617283950617,0.737448559670782,1.10617283950617,0,1.10617283950617,0.553086419753086,1.10617283950617,1.10617283950617,1.10617283950617,1.10617283950617,1.10617283950617,1.10617283950617,1.10617283950617,1.10617283950617,1.10617283950617,1.10617283950617
"P12",1.00561167227834,NA,0.982557672212845,1.06733542319749,1.0848272107822,1.060086965315,0.280877742946708,1.01594077236043,1.08290214148129,1.01115987460815,1.11524986170017,0.999276585483482,0.986060161408657,1.00827907724459,0.963009404388715,1.07394431126683,0.815451511780766,0.936259143155695,1.2171368861024,0.756209307933446,1.17032392894462,0.36636227340875,0.912852664576802,0.98307210031348,1.05329153605016,0.140438871473354,0.877742946708464,1.05329153605016,0.802507836990596,1.40438871473354,0,1.40438871473354,0.702194357366771,1.40438871473354,0,1.40438871473354,0.702194357366771,1.40438871473354,1.40438871473354,1.40438871473354,0,1.40438871473354,1.40438871473354,0,1.40438871473354
"P1",1.00892687559354,0.982557672212845,NA,1.05025641025641,0.176877015200368,1.02696443341605,1.12347140039448,1.06492089470813,1.0281124497992,0.962735042735043,0.892911010558069,0.915187376725838,1.18712493180578,1.09401709401709,1.03150183150183,1.15837104072398,1.00578990901572,0.273504273504274,0.92991452991453,0.883629191321499,1.02564102564103,1.07023411371237,1.23076923076923,1.06666666666667,0.683760683760684,0.82051282051282,0.82051282051282,1.43589743589744,1.17216117216117,0.41025641025641,0.547008547008547,0.82051282051282,1.64102564102564,0.82051282051282,0.82051282051282,1.64102564102564,1.64102564102564,1.64102564102564,0,1.64102564102564,1.64102564102564,1.64102564102564,1.64102564102564,0,0
"P7",0.998716049382716,1.06733542319749,1.05025641025641,NA,1.0577245508982,1.18916129032258,0.964923076923077,0.272340425531915,0.956144578313253,0.238933333333333,1.01647058823529,1.23076923076923,1.25276595744681,1.50974358974359,0.219428571428571,0.376470588235294,0.495483870967742,0.768,0.512,0.689230769230769,1.28,1.78086956521739,1.024,0.384,0.213333333333333,0.512,0.32,0.96,1.09714285714286,0.64,1.70666666666667,1.28,0,0,0,0,0,2.56,2.56,0,0,0,2.56,0,2.56
"P2",1.01343978709248,1.0848272107822,0.176877015200368,1.0577245508982,NA,1.07305389221557,0.949239981575311,1.08446935915403,1.09891061250992,1.21612774451098,1.26241634378302,1.03178258866882,0.91323735507708,0.894211576846307,0.84311377245509,0.867911236350828,1.21151245895306,0.268263473053892,1.43073852295409,1.44449562413634,1.34131736526946,0.933090341057016,0.67065868263473,1.07305389221557,1.34131736526946,1.34131736526946,1.34131736526946,0.335329341317365,0.766467065868263,2.01197604790419,1.78842315369261,1.34131736526946,0,0,0,1.34131736526946,0,0,2.68263473053892,0,0,0,0,0,0
"P21",1.0205336519315,1.060086965315,1.02696443341605,1.18916129032258,1.07305389221557,NA,1.06719602977667,1.13768016472203,0.243762145355616,0.963440860215054,0.212523719165085,1.00049627791563,0.491969800960879,0.518775847808106,0.660645161290323,1.27514231499051,1.02559833506764,1.05978494623656,1.05978494623656,0.555831265508685,0.240860215053763,0.879663394109397,0,1.58967741935484,1.20430107526882,0.867096774193548,0.361290322580645,0.361290322580645,0.412903225806452,0.72258064516129,0,0,1.44516129032258,0,0,0,0,0,0,0,0,0,2.89032258064516,0,2.89032258064516
"P13",1.01257359924027,0.280877742946708,1.12347140039448,0.964923076923077,0.949239981575311,1.06719602977667,NA,1.39312602291326,1.03799814643188,1.10276923076923,1.06425339366516,1.0603550295858,1.31980360065466,1.4138067061144,0.886153846153846,1.21628959276018,1.77866004962779,1.14871794871795,0.804102564102564,1.5905325443787,1.14871794871795,0.449498327759197,1.03384615384615,1.37846153846154,1.14871794871795,0,0.861538461538461,1.29230769230769,0.984615384615384,0,2.2974358974359,0,1.72307692307692,0,3.44615384615385,1.72307692307692,1.72307692307692,0,0,0,0,0,3.44615384615385,3.44615384615385,0
"P28",1.08263724717625,1.01594077236043,1.06492089470813,0.272340425531915,1.08446935915403,1.13768016472203,1.39312602291326,NA,1.03358113304281,0.381276595744681,1.47183979974969,0.549918166939444,1.21684019918515,1.46644844517185,0.408510638297872,0.560700876095119,0.614962251201098,1.42978723404255,0.635460992907801,1.28314238952537,0.99290780141844,0.621646623496762,0.714893617021277,0.238297872340426,0.397163120567376,0.953191489361702,1.78723404255319,0.595744680851064,2.72340425531915,1.19148936170213,1.5886524822695,0,0,0,0,2.38297872340426,0,0,0,0,0,0,0,0,0
"P24",1.01288115424662,1.08290214148129,1.0281124497992,0.956144578313253,1.09891061250992,0.243762145355616,1.03799814643188,1.03358113304281,NA,1.29542168674699,0.317505315379164,1.03799814643188,0.574211740579339,0.553599011430337,1.38795180722892,1.90503189227498,1.74115818111154,0.539759036144578,1.25943775100402,0,0.224899598393574,1.40806705081194,0.269879518072289,0.809638554216867,0.449799196787149,0,0.674698795180723,0,0,0,0,0,2.69879518072289,0,0,0,0,0,0,0,5.39759036144578,0,5.39759036144578,0,5.39759036144578
"P4",0.973432098765432,1.01115987460815,0.962735042735043,0.238933333333333,1.21612774451098,0.963440860215054,1.10276923076923,0.381276595744681,1.29542168674699,NA,1.05411764705882,1.37846153846154,1.14382978723404,0.45948717948718,0,0.175686274509804,0.578064516129032,0.796444444444444,0.199111111111111,2.06769230769231,0.995555555555556,1.55826086956522,0.597333333333333,0.298666666666667,0,1.19466666666667,0.746666666666667,1.49333333333333,0.853333333333333,2.98666666666667,0,0,0,0,2.98666666666667,2.98666666666667,0,0,5.97333333333333,0,0,0,5.97333333333333,0,0
