"","P15","P12","P1","P7","P2","P21","P13","P28","P24","P4","P22","P16","P25","P34","P5","P9","P29","P3","P8","P23","P10","P14","P18","P27","P6","","P30","P33","P26","P19","P35","P11","P17","P20","P39","P40","P41","P31","P32","P36","P37","P38","P42","P43","P44"
"P15",405,290,249,158,153,143,119,92,76,66,63,11,43,38,31,32,27,25,29,22,22,22,17,16,12,8,7,6,7,4,2,2,0,2,1,2,2,1,1,1,1,1,1,1,1
"P12",290,319,191,133,129,117,26,68,64,54,54,37,33,28,24,26,18,20,26,14,20,6,13,14,9,1,5,6,4,4,0,2,1,2,0,2,1,1,1,1,0,1,1,0,1
"P1",249,191,273,112,18,97,89,61,52,44,37,29,34,26,22,24,19,5,17,14,15,15,15,13,5,5,4,7,5,1,1,1,2,1,1,2,2,1,0,1,1,1,1,0,0
"P7",158,133,112,175,69,72,49,10,31,7,27,25,23,23,3,5,6,9,6,7,12,16,8,3,1,2,1,3,3,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1
"P2",153,129,18,69,167,62,46,38,34,34,32,20,16,13,11,11,14,3,16,14,12,8,5,8,6,5,4,1,2,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"P21",143,117,97,72,62,155,48,37,7,25,5,18,8,7,8,15,11,11,11,5,2,7,0,11,5,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"P13",119,26,89,49,46,48,130,38,25,24,21,16,18,16,9,12,16,10,7,12,8,3,6,8,4,0,2,3,2,0,2,0,1,0,2,1,1,0,0,0,0,0,1,1,0
"P28",92,68,61,10,38,37,38,94,18,6,21,6,12,12,3,4,4,9,4,7,5,3,3,1,1,2,3,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P24",76,64,52,31,34,7,25,18,83,18,4,10,5,4,9,12,10,3,7,0,1,6,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"P4",66,54,44,7,34,25,24,6,18,75,12,12,9,3,0,1,3,4,1,9,4,6,2,1,0,2,1,2,1,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
